Food_Source_ID,Stand_ID,Crop_ID
1,1,1
2,2,1
3,2,2
4,2,6
5,3,1
6,3,2
7,3,6
8,4,4
9,5,2
10,6,4
11,6,1
12,7,4
13,7,2
14,8,6
15,9,1
16,9,2
17,9,3
18,9,4
19,10,1
20,10,2
21,10,3
22,10,4
23,11,2
24,11,3
25,12,1
26,12,2
27,12,3
28,12,4
29,13,1
30,13,2
31,13,3
32,13,4
33,14,2
34,14,3
35,14,4
36,14,6
37,15,2
38,15,3
39,15,4
40,16,2
41,16,3
42,16,4
43,16,6
44,17,2
45,17,3
46,17,4
47,17,6
48,18,2
49,18,3
50,18,4
51,18,6
52,19,1
53,19,2
54,19,3
55,19,4
56,20,1
57,20,2
58,20,3
59,20,4
60,21,1
61,21,2
62,22,1
63,22,2
64,22,3
65,23,2
66,23,3
67,24,2
68,25,2
69,26,2
70,38,2
71,27,1
72,28,1
73,28,2
74,29,1
75,29,2
76,29,3
77,29,4
78,29,5
79,29,6
80,30,1
81,30,2
82,30,3
83,30,4
84,30,5
85,30,6
86,31,2
87,39,2
88,32,2
89,33,1
90,33,2
91,33,3
92,33,4
93,34,2
94,34,3
95,34,4
96,40,2
97,40,3
98,40,4
99,35,1
100,41,1
101,36,7
102,37,1
103,37,2
104,37,3
105,37,4
106,42,1
107,42,2
108,42,3
109,42,4
110,43,4
